Folio interno,Nombre de la mascota ,Sexo,Tamaño,Grupo etario
1,Balam,Macho,Grande,Adulto
2,Ameyalli,Hembra,Mediano,Adulto
3,Citlalli,Hembra,Mediano,Adulto
4,Tonatiuh,Macho,Mediano,Adulto
5,Zolin,Macho,Mediano,Geriatrico
6,Yolotzin,Macho,Mediano,Adulto
7,Xóchi,Hembra,Mediano,Adulto
8,Itzae,Hembra,Mediano,Adulto
9,Metztli,Hembra,Mediano,Adulto
10,Nochtli,Macho,Mediano,Adulto
11,Cuauhtli,Macho,Mediano,Adulto
12,Tláloc,Hembra,Mediano,Adulto
13,Mazatl,Hembra,Mediano,Adulto
14,Ocelotl,Macho,Mediano,Geriatrico
15,Quetzalli,Hembra,Mediano,Adulto
16,Ehécatl,Hembra,Mediano,Adulto
17,Xipil,Hembra,Mediano,Geriatrico
18,Zeltzin,Hembra,Mediano,Geriatrico
19,Yaotl,Macho,Mediano,Adulto
20,Atl,Hembra,Mediano,Geriatrico
21,Centli,Hembra,Mediano,Adulto
22,Chapolin,Hembra,Mediano,Geriatrico
23,Coyotl,Hembra,Mediano,Adulto
24,Huehue,Macho,Mediano,Geriatrico
25,Ihuicatl,Macho,Mediano,Geriatrico
26,Ilhuitl,Hembra,Mediano,Adulto
27,Bóox,Hembra,Mediano,Adulto
28,Kaan,Hembra,Mediano,Geriatrico
30,Miztli,Hembra,Mediano,Geriatrico
31,Macalli,Macho,Mediano,Geriatrico
32,Malinalli,Hembra,Mediano,Geriatrico
33,Lool,Macho,Mediano,Adulto
34,Nelli,Hembra,Mediano,Adulto
35,Ohtli,Macho,Grande,Geriatrico
36,Paktli,Hembra,Chico,Geriatrico
37,Papalotl,Hembra,Mediano,Geriatrico
38,Quiahuitl,Macho,Mediano,Geriatrico
39,Tlalli,Macho,Mediano,Geriatrico
40,Tletl,Macho,Mediano,Adulto
41,Tochtli,Macho,Mediano,Geriatrico
42,Xayacatl,Hembra,Mediano,Adulto
43,Xicohtencatl,Macho,Mediano,Adulto
44,Xilotl,Hembra,Mediano,Adulto
